Facultad,Licenciatura,Bachillerato,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,neurociencias,otra,Bioquimica Diagnostico Final,4,5,11/22/2022,,3,9,11/22/2022,Topicos de Salud I Diagnostico Inicial,1,5,11/21/2022,Topicos de Salud I Diagnostico Final,1,8,1/16/2023,Topicos de Salud II Diagnostico Inicial,2,0,11/25/2022,Topicos de Salud II Diagnostico Final,3,10,6/6/2022,Introducción a la Ética Diagnostico Inicial,1,1,12/20/2022,Introducción a la Ética Diagnostico Final,7,10,1/19/2023,Biologia Celular Diagnostico Inicial,1,4,11/28/2022,Biologia Celular Diagnostico Final,2,9,5/23/2017,"Lectura y Redacción, Diagnostico Inicial",2,7,5/23/2017,"Lectura y Redacción, Diagnostico Final",4,9,8/4/2020,"Matematicas, Diagnostico Inicial",1,3,1/26/2023,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,11/22/2022,"Estadistica en la investigación social, Diagnostico Final",11,4,3/8/2024
fm-cu,neurociencias,inc-sep,Bioquimica Diagnostico Inicial,1,6,3/29/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/18/2025,Topicos de Salud I Diagnostico Final,1,7,4/17/2025,Topicos de Salud II Diagnostico Inicial,1,7,4/6/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,4,5/18/2025,,,,,Biologia Celular Diagnostico Inicial,1,6,4/6/2025,Biologia Celular Diagnostico Final,1,4,5/16/2025,"Lectura y Redacción, Diagnostico Inicial",1,7,4/29/2025,,,,,"Matematicas, Diagnostico Inicial",1,5,5/18/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,cch,Bioquimica Diagnostico Inicial,1,3,4/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/26/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/26/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/26/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/26/2025,,,,,Biologia Celular Diagnostico Inicial,1,6,3/26/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/26/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/26/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/26/2025,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,7,3/26/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/26/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/26/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/26/2025,,,,,Biologia Celular Diagnostico Inicial,1,6,3/26/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/26/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/26/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/26/2025,,,,
fm-cu,neurociencias,inc-unam,Bioquimica Diagnostico Final,4,5,11/22/2022,,3,9,11/22/2022,Topicos de Salud I Diagnostico Inicial,1,5,11/21/2022,Topicos de Salud I Diagnostico Final,1,8,1/16/2023,Topicos de Salud II Diagnostico Inicial,2,0,11/25/2022,Topicos de Salud II Diagnostico Final,3,10,6/6/2022,Introducción a la Ética Diagnostico Inicial,1,1,12/20/2022,Introducción a la Ética Diagnostico Final,7,10,1/19/2023,Biologia Celular Diagnostico Inicial,1,4,11/28/2022,Biologia Celular Diagnostico Final,2,9,5/23/2017,"Lectura y Redacción, Diagnostico Inicial",2,7,5/23/2017,"Lectura y Redacción, Diagnostico Final",4,9,8/4/2020,"Matematicas, Diagnostico Inicial",1,3,1/26/2023,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,11/22/2022,"Estadistica en la investigación social, Diagnostico Final",11,4,3/8/2024
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,3,3/25/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/25/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/25/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,4,3/25/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/25/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/25/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/25/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,3/25/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,5,3/20/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,5,3/20/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/20/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,4,3/20/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,inc-sep,Bioquimica Diagnostico Inicial,1,4,3/23/2025,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/23/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,6,3/28/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,7,3/28/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,4,5/26/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,5,5/26/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/28/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,4,5/26/2025,,,,,"Matematicas, Diagnostico Inicial",1,6,5/26/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,5/26/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,4,3/28/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/28/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,7,3/28/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,4/19/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/28/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/28/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,3/28/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,3/28/2025,,,,
fm-cu,neurociencias,otra,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/28/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,9,3/16/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,9,4/27/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/28/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,2,3/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,biomedica,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,3/29/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,3,3/29/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/29/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/29/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/29/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/29/2025,,,,,"Matematicas, Diagnostico Inicial",1,10,3/29/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/29/2025,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,cch,Bioquimica Diagnostico Inicial,1,6,3/29/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/18/2025,Topicos de Salud I Diagnostico Final,1,7,4/17/2025,Topicos de Salud II Diagnostico Inicial,1,7,4/6/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,4,5/18/2025,,,,,Biologia Celular Diagnostico Inicial,1,6,4/6/2025,Biologia Celular Diagnostico Final,1,4,5/16/2025,"Lectura y Redacción, Diagnostico Inicial",1,7,4/29/2025,,,,,"Matematicas, Diagnostico Inicial",1,5,5/18/2025,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,7,3/25/2025,,2,9,3/28/2025,Topicos de Salud I Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud I Diagnostico Final,1,9,3/29/2025,Topicos de Salud II Diagnostico Inicial,1,8,3/25/2025,Topicos de Salud II Diagnostico Final,1,9,3/29/2025,Introducción a la Ética Diagnostico Inicial,1,8,3/25/2025,Introducción a la Ética Diagnostico Final,1,9,3/29/2025,Biologia Celular Diagnostico Inicial,1,8,3/25/2025,Biologia Celular Diagnostico Final,2,9,3/29/2025,"Lectura y Redacción, Diagnostico Inicial",1,10,3/25/2025,"Lectura y Redacción, Diagnostico Final",2,10,3/29/2025,"Matematicas, Diagnostico Inicial",1,10,3/25/2025,"Matematicas, Diagnostico Final",1,10,3/29/2025,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/25/2025,"Estadistica en la investigación social, Diagnostico Final",1,8,3/29/2025
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,7,3/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,7,3/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,3,3/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,8,5/25/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,5/25/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,5/25/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,5,5/25/2025,Introducción a la Ética Diagnostico Final,1,9,5/25/2025,Biologia Celular Diagnostico Inicial,2,9,5/25/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,5/25/2025,,,,,"Matematicas, Diagnostico Inicial",1,7,5/25/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,5/25/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,otra,Bioquimica Diagnostico Inicial,1,6,3/30/2025,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,3/30/2025,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/30/2025,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,2,3/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,otra,inc-sep,Bioquimica Diagnostico Inicial,2,8,3/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,3/31/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,4,3/31/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,5,3/31/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,2,3/31/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/31/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,3/31/2025,,,,,"Matematicas, Diagnostico Inicial",1,4,3/31/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,3/31/2025,,,,
fm-cu,otra,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,biomedica,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,otra,Bioquimica Diagnostico Inicial,1,3,4/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,4/6/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,4/6/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,4/6/2025,,,,,,,,,,,,
fm-cu,neurociencias,otra,Bioquimica Diagnostico Inicial,1,4,3/23/2025,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/23/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,9,3/31/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/31/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,8,3/31/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,9,3/31/2025,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,3/31/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,enp,Bioquimica Diagnostico Inicial,1,10,3/31/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/31/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,9,3/31/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/31/2025,,,,,Biologia Celular Diagnostico Inicial,1,9,3/31/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,3/31/2025,,,,,"Matematicas, Diagnostico Inicial",1,8,3/31/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",2,8,3/31/2025,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,Topicos de Salud I Diagnostico Inicial,1,7,3/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,4,3/29/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,3,3/29/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/29/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,6,3/29/2025,,,,,Biologia Celular Diagnostico Inicial,1,7,3/29/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/29/2025,,,,,"Matematicas, Diagnostico Inicial",1,10,3/29/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,3/29/2025,,,,
fm-cu,fisioterapia,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
