Escuela Ingreso,Licenciatura,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-02,,,,,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-02,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-02,,,,,Introducción a la Ética Diagnostico Inicial,2,5,2025-08-02,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-02,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-02,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-08-02,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-08-02,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-12,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-12,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-02,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-02,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-02,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-02,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-08-02,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-02,,,,,"Matematicas, Diagnostico Inicial",1,6,2025-08-02,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-02,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-09,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,4,2025-08-02,,1,9,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-02,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-02,,2,9,2025-08-13,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-02,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,2025-08-02,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-02,,3,7,2025-08-13,Topicos de Salud I Diagnostico Inicial,1,7,2025-08-11,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,Bioquimica Diagnostico Final,1,8,2025-08-04,,5,10,2025-08-10,Topicos de Salud I Diagnostico Inicial,1,5,2025-08-05,,,,,Topicos de Salud II Diagnostico Inicial,1,3,2025-08-04,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-08-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-05,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,Bioquimica Diagnostico Final,1,8,2025-08-04,,5,10,2025-08-10,Topicos de Salud I Diagnostico Inicial,1,5,2025-08-05,,,,,Topicos de Salud II Diagnostico Inicial,1,3,2025-08-04,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-08-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-05,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-02,,1,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-03,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,9,2025-08-06,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-06,,,,,"Lectura y Redacción, Diagnostico Inicial",1,9,2025-08-06,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-05,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-02,,2,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-02,,3,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,9,2025-08-13,,1,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
